station,block_no,year,max_24h_mm,date,raw_value,statistical_break,usable,value_classes,row_classes,row_html
香取,0375,1998,68.0,7/23 04:00,68,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1998&amp;month=&amp;day=&amp;view=a5"">1998</a></div></td><td class=""data_0_0"">18</td><td class=""data_0_0""> 5/08 20:00</td><td class=""data_0_0"">33</td><td class=""data_0_0""> 7/23 03:00</td><td class=""data_0_0"">52</td><td class=""data_0_0""> 9/16 05:00</td><td class=""data_0_0"">66</td><td class=""data_0_0""> 9/16 09:00</td><td class=""data_0_0"">68</td><td class=""data_0_0""> 7/23 04:00</td><td class=""data_0_0"">82</td><td class=""data_0_0""> 7/24 14:00</td><td class=""data_0_0"">94</td><td class=""data_0_0""> 7/25 04:00</td></tr>"
香取,0375,1999,300.0,10/28 12:00,300 ],True,False,data_2t_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=1999&amp;month=&amp;day=&amp;view=a5"">1999</a></div></td><td class=""data_2t_0"">153 ]</td><td class=""data_2t_0"">10/27 20:00</td><td class=""data_2t_0"">256 ]</td><td class=""data_2t_0"">10/27 21:00</td><td class=""data_2t_0"">284 ]</td><td class=""data_2t_0"">10/27 21:00</td><td class=""data_2t_0"">299 ]</td><td class=""data_2t_0"">10/27 24:00</td><td class=""data_2t_0"">300 ]</td><td class=""data_2t_0"">10/28 12:00</td><td class=""data_2t_0"">300 ]</td><td class=""data_2t_0"">10/29 12:00</td><td class=""data_2t_0"">300 ]</td><td class=""data_2t_0"">10/30 12:00</td></tr>"
香取,0375,2000,156.0,7/08 16:00,156,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=2000&amp;month=&amp;day=&amp;view=a5"">2000</a></div></td><td class=""data_0_0"">21</td><td class=""data_0_0""> 9/11 08:00</td><td class=""data_0_0"">50</td><td class=""data_0_0""> 7/07 24:00</td><td class=""data_0_0"">72</td><td class=""data_0_0""> 7/08 08:00</td><td class=""data_0_0"">138</td><td class=""data_0_0""> 7/08 08:00</td><td class=""data_0_0"">156</td><td class=""data_0_0""> 7/08 16:00</td><td class=""data_0_0"">156</td><td class=""data_0_0""> 7/09 16:00</td><td class=""data_0_0"">156</td><td class=""data_0_0""> 7/10 16:00</td></tr>"
香取,0375,2001,263.0,10/11 03:00,263,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=2001&amp;month=&amp;day=&amp;view=a5"">2001</a></div></td><td class=""data_0_0"">71</td><td class=""data_0_0"">10/10 22:00</td><td class=""data_0_0"">114</td><td class=""data_0_0"">10/10 23:00</td><td class=""data_0_0"">156</td><td class=""data_0_0"">10/10 23:00</td><td class=""data_0_0"">228</td><td class=""data_0_0"">10/10 24:00</td><td class=""data_0_0"">263</td><td class=""data_0_0"">10/11 03:00</td><td class=""data_0_0"">263</td><td class=""data_0_0"">10/12 03:00</td><td class=""data_0_0"">281</td><td class=""data_0_0"">10/11 10:00</td></tr>"
香取,0375,2002,78.0,6/19 05:00,78,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=2002&amp;month=&amp;day=&amp;view=a5"">2002</a></div></td><td class=""data_0_0"">22</td><td class=""data_0_0""> 6/22 08:00</td><td class=""data_0_0"">40</td><td class=""data_0_0""> 6/18 13:00</td><td class=""data_0_0"">55</td><td class=""data_0_0""> 6/18 15:00</td><td class=""data_0_0"">77</td><td class=""data_0_0""> 1/27 09:00</td><td class=""data_0_0"">78</td><td class=""data_0_0""> 6/19 05:00</td><td class=""data_0_0"">94</td><td class=""data_0_0"">10/02 11:00</td><td class=""data_0_0"">94</td><td class=""data_0_0"">10/03 11:00</td></tr>"
香取,0375,2003,138.0,8/15 21:00,138,False,True,data_1t_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=2003&amp;month=&amp;day=&amp;view=a5"">2003</a></div></td><td class=""data_1t_0"">41</td><td class=""data_1t_0"">10/13 15:30</td><td class=""data_1t_0"">47</td><td class=""data_1t_0"">11/25 18:40</td><td class=""data_1t_0"">60</td><td class=""data_1t_0"">11/25 18:50</td><td class=""data_1t_0"">92</td><td class=""data_1t_0""> 8/15 11:20</td><td class=""data_1t_0"">138</td><td class=""data_1t_0""> 8/15 21:00</td><td class=""data_1t_0"">176</td><td class=""data_1t_0""> 8/16 10:50</td><td class=""data_1t_0"">194</td><td class=""data_1t_0""> 8/16 22:00</td></tr>"
香取,0375,2004,232.0,10/09 18:40,232,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=2004&amp;month=&amp;day=&amp;view=a5"">2004</a></div></td><td class=""data_0_0"">56</td><td class=""data_0_0"">10/09 03:00</td><td class=""data_0_0"">106</td><td class=""data_0_0"">10/09 03:30</td><td class=""data_0_0"">147</td><td class=""data_0_0"">10/09 05:10</td><td class=""data_0_0"">174</td><td class=""data_0_0"">10/09 08:10</td><td class=""data_0_0"">232</td><td class=""data_0_0"">10/09 18:40</td><td class=""data_0_0"">235</td><td class=""data_0_0"">10/10 15:00</td><td class=""data_0_0"">242</td><td class=""data_0_0"">10/11 15:00</td></tr>"
香取,0375,2005,150.0,1/16 16:50,150,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=2005&amp;month=&amp;day=&amp;view=a5"">2005</a></div></td><td class=""data_0_0"">40</td><td class=""data_0_0""> 9/11 16:20</td><td class=""data_0_0"">47</td><td class=""data_0_0""> 5/31 04:30</td><td class=""data_0_0"">68</td><td class=""data_0_0""> 1/16 07:40</td><td class=""data_0_0"">104</td><td class=""data_0_0""> 1/16 08:00</td><td class=""data_0_0"">150</td><td class=""data_0_0""> 1/16 16:50</td><td class=""data_0_0"">163</td><td class=""data_0_0""> 1/17 08:50</td><td class=""data_0_0"">163</td><td class=""data_0_0""> 1/18 08:50</td></tr>"
香取,0375,2006,193.0,10/07 02:20,193,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=2006&amp;month=&amp;day=&amp;view=a5"">2006</a></div></td><td class=""data_0_0"">41</td><td class=""data_0_0""> 1/14 19:10</td><td class=""data_0_0"">62</td><td class=""data_0_0""> 1/14 19:30</td><td class=""data_0_0"">81</td><td class=""data_0_0"">12/27 02:10</td><td class=""data_0_0"">132</td><td class=""data_0_0"">12/27 02:20</td><td class=""data_0_0"">193</td><td class=""data_0_0"">10/07 02:20</td><td class=""data_0_0"">235</td><td class=""data_0_0"">10/24 22:40</td><td class=""data_0_0"">238</td><td class=""data_0_0"">10/25 18:30</td></tr>"
香取,0375,2007,165.0,7/15 13:30,165,False,True,data_0_0,mtx,"<tr class=""mtx"" style=""text-align:right;""><td style=""white-space:nowrap""><div class=""a_print""><a href=""monthly_a1.php?prec_no=45&amp;block_no=0375&amp;year=2007&amp;month=&amp;day=&amp;view=a5"">2007</a></div></td><td class=""data_0_0"">50</td><td class=""data_0_0""> 9/12 07:00</td><td class=""data_0_0"">71</td><td class=""data_0_0""> 9/12 07:40</td><td class=""data_0_0"">85</td><td class=""data_0_0""> 9/12 10:50</td><td class=""data_0_0"">110</td><td class=""data_0_0""> 7/15 05:20</td><td class=""data_0_0"">165</td><td class=""data_0_0""> 7/15 13:30</td><td class=""data_0_0"">183</td><td class=""data_0_0""> 7/16 03:20</td><td class=""data_0_0"">183</td><td class=""data_0_0""> 7/17 03:20</td></tr>"
